filename,model_target,downstream_task,perturbation_technique,codemix_lang,perturb_ratio,before_attack_acc,after_attack_acc,delta_acc,avg_semantic_sim,avg_running_time(s),adv_training,acc_improvement_on_adv_train,acc_adv_training_on_orig,orig_acc_vs_adv,best_epoch
indobert-emotion-codemixing-ms-adv-0.4.csv,indobert,emotion,codemixing,ms,0.4,0.7181818181818181,0.6318181818181818,0.08636363636363631,0.9543043859980324,0.4530554545454545,0.6909090909090909,0.05909090909090908,0.7522727272727273,0.03409090909090917,4.0
indobert-emotion-codemixing-ms-adv-0.6.csv,indobert,emotion,codemixing,ms,0.6,0.7181818181818181,0.6318181818181818,0.08636363636363631,0.9517632033337248,0.2845284090909091,0.6954545454545454,0.0636363636363636,0.7545454545454545,0.036363636363636376,4.0
indobert-emotion-codemixing-ms-adv-0.8.csv,indobert,emotion,codemixing,ms,0.8,0.7181818181818181,0.6295454545454545,0.08863636363636362,0.9497987018051472,0.283388409090909,0.6863636363636364,0.05681818181818188,0.7295454545454545,0.011363636363636354,5.0
indobert-emotion-codemixing-su-adv-0.2.csv,indobert,emotion,codemixing,su,0.2,0.7181818181818181,0.625,0.09318181818181814,0.9546239416707646,0.4590477272727272,0.6977272727272728,0.07272727272727275,0.7613636363636364,0.04318181818181821,5.0
indobert-emotion-codemixing-su-adv-0.4.csv,indobert,emotion,codemixing,su,0.4,0.7181818181818181,0.615909090909091,0.10227272727272718,0.9508323123509234,0.4514468181818181,0.6886363636363636,0.07272727272727264,0.75,0.03181818181818186,5.0
indobert-emotion-codemixing-su-adv-0.6.csv,indobert,emotion,codemixing,su,0.6,0.7181818181818181,0.6090909090909091,0.10909090909090902,0.9460508542982016,0.2787379545454545,0.6772727272727272,0.06818181818181812,0.7431818181818182,0.025000000000000022,5.0
indobert-emotion-codemixing-su-adv-0.8.csv,indobert,emotion,codemixing,su,0.8,0.7181818181818181,0.6181818181818182,0.09999999999999998,0.9407174971970644,0.2437452272727272,0.6727272727272727,0.054545454545454564,0.7454545454545455,0.027272727272727337,5.0
indobert-sentiment-codemixing-en-adv-0.2.csv,indobert,sentiment,codemixing,en,0.2,0.91,0.898,0.01200000000000001,0.9917565064430236,0.3036803999999999,0.924,0.026000000000000023,0.926,0.016000000000000014,4.0
indobert-sentiment-codemixing-en-adv-0.4.csv,indobert,sentiment,codemixing,en,0.4,0.91,0.896,0.014000000000000012,0.9854884222745895,0.3040356000000001,0.926,0.030000000000000027,0.932,0.02200000000000002,1.0
indobert-sentiment-codemixing-en-adv-0.6.csv,indobert,sentiment,codemixing,en,0.6,0.91,0.896,0.014000000000000012,0.9793189111948012,0.3143344,0.916,0.020000000000000018,0.926,0.016000000000000014,2.0
indobert-sentiment-codemixing-en-adv-0.8.csv,indobert,sentiment,codemixing,en,0.8,0.91,0.896,0.014000000000000012,0.9717007353305817,0.2191568,0.918,0.02200000000000002,0.924,0.014000000000000012,2.0
indobert-sentiment-codemixing-fr-adv-0.2.csv,indobert,sentiment,codemixing,fr,0.2,0.91,0.88,0.030000000000000027,0.9837678694725036,0.3619788,0.904,0.02400000000000002,0.922,0.01200000000000001,0.0
indobert-sentiment-codemixing-fr-adv-0.4.csv,indobert,sentiment,codemixing,fr,0.4,0.91,0.876,0.03400000000000003,0.9690865334272384,0.3324738,0.9,0.02400000000000002,0.926,0.016000000000000014,0.0
indobert-sentiment-codemixing-fr-adv-0.6.csv,indobert,sentiment,codemixing,fr,0.6,0.91,0.878,0.03200000000000003,0.9520304445028304,0.3722888,0.902,0.02400000000000002,0.918,0.008000000000000007,1.0
indobert-sentiment-codemixing-fr-adv-0.8.csv,indobert,sentiment,codemixing,fr,0.8,0.91,0.862,0.04800000000000004,0.934073863208294,0.3530245999999999,0.9,0.038000000000000034,0.918,0.008000000000000007,1.0
indobert-sentiment-sr-adv-0.2.csv,indobert,sentiment,sr,id,0.2,0.91,0.878,0.032,0.9852362792491912,0.35178,0.91,0.03200000000000003,0.924,0.014000000000000012,5.0
indobert-sentiment-sr-adv-0.4.csv,indobert,sentiment,sr,id,0.4,0.91,0.842,0.068,0.969126109957695,0.313214,0.88,0.038000000000000034,0.924,0.014000000000000012,0.0
indobert-sentiment-sr-adv-0.6.csv,indobert,sentiment,sr,id,0.6,0.91,0.828,0.082,0.9550436518192292,0.2701168,0.87,0.04200000000000004,0.924,0.014000000000000012,3.0
indobert-sentiment-sr-adv-0.8.csv,indobert,sentiment,sr,id,0.8,0.91,0.842,0.068,0.9366672204732897,0.3569387999999999,0.876,0.03400000000000003,0.92,0.010000000000000009,2.0
indobert-sentiment-codemixing-it-adv-0.2.csv,indobert,sentiment,codemixing,it,0.2,0.91,0.87,0.040000000000000036,0.9865121273994446,0.3157142,0.912,0.04200000000000004,0.914,0.0040000000000000036,4.0
indobert-sentiment-codemixing-it-adv-0.4.csv,indobert,sentiment,codemixing,it,0.4,0.91,0.852,0.05800000000000005,0.973805076122284,0.2171048,0.894,0.04200000000000004,0.926,0.016000000000000014,0.0
indobert-sentiment-codemixing-it-adv-0.6.csv,indobert,sentiment,codemixing,it,0.6,0.91,0.856,0.05400000000000005,0.959559555530548,0.3342913999999999,0.906,0.050000000000000044,0.92,0.010000000000000009,2.0
indobert-sentiment-codemixing-it-adv-0.8.csv,indobert,sentiment,codemixing,it,0.8,0.91,0.854,0.05600000000000005,0.9466415275335311,0.3345166,0.904,0.050000000000000044,0.926,0.016000000000000014,5.0
indobert-sentiment-codemixing-jw-adv-0.2.csv,indobert,sentiment,codemixing,jw,0.2,0.91,0.878,0.03200000000000003,0.9930938498973848,0.309576,0.914,0.03600000000000003,0.932,0.02200000000000002,4.0
indobert-sentiment-codemixing-jw-adv-0.4.csv,indobert,sentiment,codemixing,jw,0.4,0.91,0.88,0.030000000000000027,0.9857434405088424,0.3083193999999999,0.918,0.038000000000000034,0.922,0.01200000000000001,0.0
indobert-sentiment-codemixing-jw-adv-0.6.csv,indobert,sentiment,codemixing,jw,0.6,0.91,0.872,0.038000000000000034,0.9790209231376648,0.3165766,0.908,0.03600000000000003,0.926,0.016000000000000014,4.0
indobert-sentiment-codemixing-jw-adv-0.8.csv,indobert,sentiment,codemixing,jw,0.8,0.91,0.866,0.04400000000000004,0.9718227041959764,0.1990573999999999,0.91,0.04400000000000004,0.922,0.01200000000000001,0.0
indobert-sentiment-codemixing-ms-adv-0.2.csv,indobert,sentiment,codemixing,ms,0.2,0.91,0.888,0.02200000000000002,0.9931409859657288,0.358118,0.918,0.030000000000000027,0.922,0.01200000000000001,3.0
indobert-sentiment-codemixing-ms-adv-0.4.csv,indobert,sentiment,codemixing,ms,0.4,0.91,0.882,0.028000000000000025,0.9863923463821412,0.2346856,0.908,0.026000000000000023,0.918,0.008000000000000007,2.0
indobert-sentiment-codemixing-ms-adv-0.6.csv,indobert,sentiment,codemixing,ms,0.6,0.91,0.878,0.03200000000000003,0.9809312528371812,0.3380678,0.91,0.03200000000000003,0.93,0.020000000000000018,0.0
